no,rumpun_ilmu,kelompok_prodi_resmi,mapel_kurmer,mapel_k13_ipa,mapel_k13_ips,mapel_k13_bahasa,sumber
37,Ilmu Terapan,Ilmu atau Sains Kedokteran Gigi,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Kepmendikdasmen 102/M/2025
38,Ilmu Terapan,Ilmu atau Sains Veteriner,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Kepmendikdasmen 102/M/2025
39,Ilmu Terapan,Ilmu Farmasi,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Kepmendikdasmen 102/M/2025
40,Ilmu Terapan,Ilmu atau Sains Gizi,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Biologi dan/atau Kimia,Kepmendikdasmen 102/M/2025
41,Ilmu Terapan,Kesehatan Masyarakat,Biologi,Biologi,Sosiologi dan/atau Biologi,Biologi,Kepmendikdasmen 102/M/2025
42,Ilmu Terapan,Kebidanan,Biologi,Biologi,Biologi,Biologi,Kepmendikdasmen 102/M/2025
43,Ilmu Terapan,Keperawatan,Biologi,Biologi,Biologi,Biologi,Kepmendikdasmen 102/M/2025
44,Ilmu Terapan,Kesehatan,Biologi,Biologi,Biologi,Biologi,Kepmendikdasmen 102/M/2025
45,Ilmu Terapan,Ilmu atau Sains Informasi,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,Kepmendikdasmen 102/M/2025
46,Ilmu Terapan,Hukum,Sosiologi dan/atau Pendidikan Pancasila,PPKn,Sosiologi dan/atau PPKn,PPKn,Kepmendikdasmen 102/M/2025
47,Ilmu Terapan,Ilmu atau Sains Militer,Sosiologi,PPKn dan/atau Sosiologi,Sosiologi,PPKn dan/atau Antropologi,Kepmendikdasmen 102/M/2025
48,Ilmu Terapan,Urusan Publik,Sosiologi,PPKn dan/atau Sosiologi,Sosiologi,PPKn dan/atau Antropologi,Kepmendikdasmen 102/M/2025
49,Ilmu Terapan,Ilmu atau Sains Keolahragaan,"Pendidikan Jasmani, Olahraga, dan Kesehatan (PJOK) dan/atau Biologi","Pendidikan Jasmani, Olahraga, dan Kesehatan (PJOK) dan/atau Biologi",PJOK,PJOK,Kepmendikdasmen 102/M/2025
50,Ilmu Terapan,Pariwisata,Ekonomi dan/atau Bahasa Inggris Tingkat Lanjut/Bahasa Asing lainnya,Bahasa Inggris dan/atau Ekonomi,Ekonomi dan/atau Bahasa Inggris,Bahasa dan Sastra Inggris dan/atau Bahasa Asing lainnya,Kepmendikdasmen 102/M/2025
51,Ilmu Terapan,Transportasi,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,Kepmendikdasmen 102/M/2025
52,Ilmu Terapan,"Bioteknologi, Biokewirausahaan, Bioinformatika",Biologi dan/atau Matematika,Biologi dan/atau Matematika,Biologi dan/atau Matematika,Biologi dan/atau Matematika,Kepmendikdasmen 102/M/2025
53,Ilmu Terapan,"Geografi, Geografi Lingkungan, Sains Informasi Geografi",Geografi dan/atau Matematika,Fisika dan/atau Matematika,Geografi dan/atau Matematika,Matematika,Kepmendikdasmen 102/M/2025
54,Ilmu Terapan,Informatika Medis atau Informatika Kesehatan,Biologi dan/atau Matematika Tingkat Lanjut,Biologi dan/atau Matematika dari kelompok peminatan MIPA,Biologi dan/atau Matematika,Biologi dan/atau Matematika,Kepmendikdasmen 102/M/2025
55,Ilmu Terapan,"Konservasi Biologi, Konservasi Hewan Liar, Konservasi Hutan, Konservasi Sumber Daya Alam",Biologi,Biologi,Biologi,Biologi,Kepmendikdasmen 102/M/2025
56,Ilmu Terapan,"Teknologi Pangan, Teknologi Hasil Pertanian/Peternakan/Perikanan",Kimia dan/atau Biologi,Kimia dan/atau Biologi,Kimia dan/atau Biologi,Kimia dan/atau Biologi,Kepmendikdasmen 102/M/2025
57,Ilmu Terapan,Sains Data,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,Kepmendikdasmen 102/M/2025
58,Ilmu Terapan,Sains Perkopian,Biologi,Biologi,Biologi,Biologi,Kepmendikdasmen 102/M/2025
59,Ilmu Terapan,Studi Humanitas,Antropologi dan/atau Sosiologi,PPKn dan/atau Sosiologi,Sosiologi,Antropologi,Kepmendikdasmen 102/M/2025
